;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;0;7,347851081;;;0;7,285428679;;;10;7,306166118;;;0;7,598462565;;;0;7,170781102;;;0;7,360243985;;;0;7,649598011;;;;;
;1;7,353881738;;;10;7,283964546;;;20;7,311006267;;;5;7,525478394;;;5;7,178085479;;;5;7,349614692;;;5;7,62759344;;;;;
;2;7,360763953;;;20;7,279978719;;;30;7,312411769;;;10;7,528213357;;;10;7,176210039;;;10;7,354863066;;;10;7,603049407;;;;;
;3;7,369358715;;;30;7,276111747;;;41,31;7,311551969;;;15;7,519891233;;;15;7,176035801;;;15;7,347543955;;;15;7,621497835;;;;;
;4;7,388026966;;;40;7,275060139;;;51,31;7,313532388;;;45;7,571890071;;;20;7,173462203;;;20;7,345394386;;;20;7,616913652;;;;;
;5;7,424020303;;;50;7,273515514;;;61,31;7,315041684;;;75;7,55064542;;;27,93;7,175835168;;;25;7,343126225;;;25;7,629383085;;;;;
;6;7,483879698;;;60;7,273879254;;;72,34;7,307759113;;;105;7,570019012;;;28,93;7,165750827;;;30;7,34064433;;;40;7,62759344;;;;;
;7;7,562003554;;;70;7,269743155;;;73,34;7,306870896;;;113,48;7,531091506;;;29,93;7,169544401;;;35;7,342392328;;;55;7,603049407;;;;;
;8;7,631165472;;;78,53;7,27274511;;;74,34;7,306538353;;;114,73;7,44991593;;;30,93;7,163786943;;;40;7,337360511;;;70;7,621497835;;;;;
;9;7,734816741;;;83,53;7,272857408;;;75,34;7,303412022;;;115,97;7,453174936;;;31,93;7,165596599;;;45;7,332961172;;;85;7,616913652;;;;;
;10;7,81750066;;;88,53;7,271655551;;;76,34;7,304972513;;;117,21;7,454694406;;;32,93;7,168793064;;;50;7,334926686;;;100;7,629383085;;;;;
;11;LOADING;;;93,53;LOADING;;;77,34;LOADING;;;119,21;LOADING;;;34,2;LOADING;;;53,23;LOADING;;;113,51;LOADING;;;;;
;12;7,955044351;;;98,53;7,366623227;;;77,98;7,307563358;;;119,21;7,456562405;;;34,2;7,168686332;;;55;7,402808778;;;115;7,658760761;;;;;
;13;7,941218135;;;102,32;;;;78,34;7,307345507;;;119,7;7,452251444;;;34,93;7,144894915;;;60;7,320424859;;;130;7,629397347;;;;;
;14;;;;103,53;7,354078094;;;79,34;7,302068067;;;120,95;7,475783806;;;35,93;7,195820561;;;65;7,47087908;;;145;7,603352492;;;;;
;15;7,921926059;;;108,93;7,325073157;;;80,34;7,308959148;;;122,19;7,832196003;;;36,93;7,212782605;;;70;7,405139336;;;150,15;7,553984191;;;;;
;16;8,031306699;;;113,93;7,337554994;;;81,34;7,308691594;;;123,43;7,832196003;;;37,93;7,205365614;;;75;7,855594725;;;155,15;7,551663511;;;;;
;17;;;;118,93;7,357158424;;;82,34;7,322335379;;;124,67;8,137982022;;;38,93;7,191790596;;;80;7,863530472;;;160,15;7,591238721;;;;;
;18;7,99970071;;;123,93;7,303858211;;;83,34;7,377778236;;;125,91;8,350878412;;;39,93;7,191543777;;;85;7,83677132;;;165,15;7,654939684;;;;;
;19;8,083318165;;;128,93;7,172936738;;;84,34;7,429568783;;;127,15;8,137982022;;;40,93;7,192003356;;;90;8,175760654;;;170,15;7,603216236;;;;;
;20;8,057963806;;;133,93;7,179696834;;;85,34;7,456085281;;;128,39;7,966874344;;;41,93;7,21724327;;;95;8,595986482;;;175,15;7,614056229;;;;;
;21;8,014239832;;;138,93;7,170369616;;;86,34;7,477882515;;;129,65;7,886500202;;;42,93;7,26118491;;;100;;;;180,15;7,616175405;;;;;
;22;7,977222603;;;143,93;7,170525901;;;87,34;7,522905606;;;130,89;7,78627807;;;43,93;7,313838822;;;105;8,319915658;;;185,15;7,609145743;;;;;
